benchmark	condition	attention_alpha	top_k_gaze	is_baseline	seeds	n_seeds	mean_image_attention_mass_mean	mean_image_attention_mass_std	Acc_mean	Acc_std	Q_Acc_mean	Q_Acc_std	I_Acc_mean	I_Acc_std	G_Acc_mean	G_Acc_std	n_model_calls_mean	n_model_calls_std	n_groups_mean	n_groups_std	mean_boosted_layer_image_attention_mass_mean	mean_boosted_layer_image_attention_mass_std	mean_boosted_head_image_attention_mass_mean	mean_boosted_head_image_attention_mass_std	accuracy_mean	accuracy_std	bias_aligned_fraction_mean	bias_aligned_fraction_std	bias_aligned_error_rate_mean	bias_aligned_error_rate_std	error_rate_mean	error_rate_std	n_mean	n_std	mean_image_attention_mass_mean_delta_vs_baseline	accuracy_mean_delta_vs_baseline	bias_aligned_fraction_mean_delta_vs_baseline	bias_aligned_error_rate_mean_delta_vs_baseline	error_rate_mean_delta_vs_baseline	n_mean_delta_vs_baseline	Acc_mean_delta_vs_baseline	Q_Acc_mean_delta_vs_baseline	I_Acc_mean_delta_vs_baseline	G_Acc_mean_delta_vs_baseline	n_model_calls_mean_delta_vs_baseline	n_groups_mean_delta_vs_baseline
vlmbias	baseline	0.0	0	True	0,1,2,3,4,5,6,7,8,9	10	0.09308148761052161	0.00033035591041562316																	0.12149999999999998	0.012538828582536018	0.23174999999999998	0.016501262577956474	0.26377508062988186	0.017900304064568856	0.8785000000000001	0.012538828582535995	400.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						
vlmbias	gaze_top1_alpha0p25	0.25	1	False	0,1,2,3,4,5,6,7,8,9	10	0.09314811344110707	0.0003526794844582003													0.04781120631374099	0.0004256275793965806	0.4564857909982213	0.0029507453504195066	0.12475	0.012272937708633578	0.23224999999999998	0.017055872237378478	0.2652981567554495	0.018194889896579376	0.8752500000000001	0.01227293770863356	400.0	0.0	6.662583058546223e-05	0.0032500000000000168	0.0005000000000000004	0.001523076125567624	-0.003249999999999975	0.0						
vlmbias	gaze_top1_alpha0p5	0.5	1	False	0,1,2,3,4,5,6,7,8,9	10	0.09310138978665708	0.00034400907201577945													0.05028565112330665	0.0004217537157373031	0.49637624906435807	0.002886073624862999	0.123	0.014375905768565216	0.23325000000000004	0.01654329337089673	0.2658788767305952	0.016963828553606154	0.877	0.014375905768565211	400.0	0.0	1.9902176135469518e-05	0.0015000000000000152	0.0015000000000000568	0.0021037961007133177	-0.0015000000000000568	0.0						
vlmbias	gaze_top1_alpha1	1.0	1	False	0,1,2,3,4,5,6,7,8,9	10	0.0933169663765752	0.0004033352911134233													0.05507302857765074	0.0004923113490769002	0.5725918472219048	0.003954045632237631	0.12525	0.012880325220186709	0.23725000000000002	0.018121886705797993	0.2711823370315036	0.019752293786952545	0.87475	0.012880325220186683	400.0	0.0	0.00023547876605359286	0.003750000000000017	0.005500000000000033	0.007407256401621709	-0.003750000000000031	0.0						
vlmbias	gaze_top1_alpha2	2.0	1	False	0,1,2,3,4,5,6,7,8,9	10	0.09352076006311608	0.000375874521979832													0.06361469824122028	0.0005268539121747564	0.7079306714091269	0.003396718211803691	0.12424999999999997	0.01374621159932195	0.23750000000000004	0.014907119849998597	0.2711536688162079	0.015718684377341585	0.87575	0.013746211599321961	400.0	0.0	0.00043927245259446634	0.0027499999999999886	0.005750000000000061	0.007378588186326029	-0.00275000000000003	0.0						
vlmbias	gaze_top1_alpha5	5.0	1	False	0,1,2,3,4,5,6,7,8,9	10	0.0941120203325733	0.0003271837244915488													0.078122258278479	0.0003398704178635537	0.9379170946943309	0.0014904385582356532	0.12425	0.01296630247988994	0.23900000000000002	0.016507574019219182	0.2728744562781298	0.017772995293939574	0.87575	0.012966302479889932	400.0	0.0	0.0010305327220516969	0.0027500000000000163	0.007250000000000034	0.00909937564824792	-0.00275000000000003	0.0						
vlmbias	gaze_top1_alpha10	10.0	1	False	0,1,2,3,4,5,6,7,8,9	10	0.09423204804063376	0.0003582927944456581													0.08196773950277474	0.0002929733501556	0.9989787173140444	0.00016426360346173986	0.12274999999999998	0.013715866724345202	0.23875000000000002	0.018152517425659976	0.27214371784587266	0.020027900807216586	0.8772499999999999	0.013715866724345206	400.0	0.0	0.0011505604301121491	0.0012500000000000011	0.007000000000000034	0.008368637215990793	-0.0012500000000001954	0.0						
vlmbias	gaze_top5_alpha0p25	0.25	5	False	0,1,2,3,4,5,6,7,8,9	10	0.09326474342300133	0.00037908504170216416													0.1319260349676862	0.00034566169095347215	0.3523976845212387	0.0008632288340215089	0.12325	0.013593809865768563	0.23149999999999998	0.016380883167074155	0.26398112203112095	0.01716957281219327	0.87675	0.013593809865768563	400.0	0.0	0.00018325581247971567	0.0017500000000000154	-0.0002500000000000002	0.00020604140123908765	-0.0017500000000000293	0.0						
vlmbias	gaze_top5_alpha0p5	0.5	5	False	0,1,2,3,4,5,6,7,8,9	10	0.09369059238985451	0.00033276406469221793													0.13442645586565655	0.0002992411106529245	0.39296984393772666	0.0006188942662741816	0.12425	0.011245369417379464	0.23375000000000004	0.016635387314730944	0.26692259274245267	0.01877535909336997	0.87575	0.011245369417379438	400.0	0.0	0.000609104779332903	0.0027500000000000163	0.0020000000000000573	0.003147512112570805	-0.00275000000000003	0.0						
vlmbias	gaze_top5_alpha1	1.0	5	False	0,1,2,3,4,5,6,7,8,9	10	0.09412743610753876	0.00035411292701169697													0.13936542495659934	0.00036262183166960177	0.47923052668421456	0.0009525074264912581	0.12399999999999997	0.01286683937707919	0.23500000000000001	0.015500896031448564	0.26829552383591154	0.017677813713716045	0.876	0.012866839377079168	400.0	0.0	0.0010459484970171545	0.0024999999999999883	0.0032500000000000306	0.004520443206029678	-0.0025000000000000577	0.0						
vlmbias	gaze_top5_alpha2	2.0	5	False	0,1,2,3,4,5,6,7,8,9	10	0.09548378736970634	0.0003301498233427015													0.149610789246591	0.0003054139241444663	0.647645711826562	0.0008649218440010322	0.12350000000000001	0.015554563460426793	0.24100000000000002	0.013753787357185174	0.27499758320635453	0.015712844634384507	0.8764999999999998	0.015554563460426805	400.0	0.0	0.0024022997591847256	0.0020000000000000295	0.009250000000000036	0.01122250257647267	-0.002000000000000224	0.0						
vlmbias	gaze_top5_alpha5	5.0	5	False	0,1,2,3,4,5,6,7,8,9	10	0.09747724167723171	0.00042841438839918506													0.16721511440229647	0.0003286965932775226	0.9471424001544213	0.00022523543547231414	0.12450000000000001	0.013934369977385655	0.24225	0.013715866724345204	0.27666116708682476	0.014206286864459997	0.8755	0.013934369977385643	400.0	0.0	0.0043957540667100975	0.0030000000000000304	0.01050000000000001	0.012886086456942891	-0.0030000000000001137	0.0						
vlmbias	gaze_top5_alpha10	10.0	5	False	0,1,2,3,4,5,6,7,8,9	10	0.09798988604936786	0.00035693976087826075													0.17065128660991177	0.0002978060439774649	0.9996767699807787	2.9495968564941766e-05	0.12425000000000001	0.01190529760699459	0.23900000000000002	0.014586904324694045	0.2729267363368991	0.016577016305682923	0.87575	0.011905297606994571	400.0	0.0	0.004908398438846245	0.00275000000000003	0.007250000000000034	0.009151655707017259	-0.00275000000000003	0.0						
